INSTNM,STABBR,CITY,LATITUDE,LONGITUDE,SCHTYPE,C100_4,TRANS_4,SAT_AVG,ACTCMMID,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,Year
School of the Art Institute of Chicago,IL,Chicago,41.88105,-87.62575799999999,2.0,0.3814,0.2483,1155.0,25.0,0.3633,0.0341,0.0915,0.1203,0.0039,2016
Aurora University,IL,Aurora,41.753631,-88.349023,2.0,0.4185,0.0,990.0,21.0,0.5641,0.0779,0.2459,0.0247,0.0039,2016
Blackburn College,IL,Carlinville,39.287896,-89.87024100000001,2.0,0.3151,0.0,1005.0,22.0,0.7979,0.1295,0.0173,0.0069,0.0017,2016
Bradley University,IL,Peoria,40.696896,-89.616786,2.0,0.5289,0.0,1163.0,26.0,0.6413,0.0467,0.0591,0.0298,0.002,2016
Chicago State University,IL,Chicago,41.718446,-87.60938399999999,1.0,0.0221,0.5382,875.0,18.0,0.0273,0.7518,0.0768,0.0055,0.0032,2016
University of Chicago,IL,Chicago,41.787994,-87.59953900000001,2.0,0.8561,0.0,1506.0,34.0,0.4451,0.0504,0.0849,0.1741,0.0024,2016
Concordia University-Chicago,IL,River Forest,41.898696,-87.80948199999999,2.0,0.4652,0.0,1047.0,23.0,0.5356,0.1292,0.255,0.0304,0.0014,2016
Eastern Illinois University,IL,Charleston,39.479843,-88.175658,1.0,0.3177,0.3189,1010.0,22.0,0.6804,0.191,0.0614,0.0101,0.0023,2016
Elmhurst College,IL,Elmhurst,41.897164000000004,-87.945369,2.0,0.5428,0.0,1090.0,24.0,0.6701,0.0501,0.1701,0.0563,0.0004,2016
Eureka College,IL,Eureka,40.71482,-89.269624,2.0,0.3846,0.0,1033.0,22.0,0.8394,0.0467,0.0263,0.0073,0.0029,2016
Greenville University,IL,Greenville,38.894162,-89.40824,2.0,0.4506,0.0,1022.0,22.0,0.6248,0.0979,0.0566,0.0096,0.0067,2016
Hebrew Theological College,IL,Skokie,42.010103,-87.760874,2.0,0.1066,0.0,1048.0,22.0,0.9979,0.0,0.0,0.0,0.0,2016
University of Illinois at Chicago,IL,Chicago,41.871837,-87.650503,1.0,0.3378,0.2962,1092.0,24.0,0.3403,0.0818,0.2843,0.2241,0.0009,2016
University of Illinois at Urbana-Champaign,IL,Champaign,40.104718,-88.229114,1.0,0.7097,0.0,1305.0,29.0,0.4816,0.0551,0.0962,0.1734,0.0006,2016
Illinois Wesleyan University,IL,Bloomington,40.489901,-88.992014,2.0,0.7834,0.0,1249.0,28.0,0.7132,0.0403,0.0671,0.0425,0.0005,2016
