ACTCMMID,C100_4,CITY,COSTT4_A,INSTNM,LATITUDE,LONGITUDE,SAT_AVG,SCHTYPE,STABBR,TRANS_4,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_MEN,UGDS_WHITE,UGDS_WOMEN,Year
25.0,0.4728,Chicago,63848.0,School of the Art Institute of Chicago,41.88105,-87.62575799999999,1226.0,1.0,IL,0.192,49310.0,49310.0,2893.0,0.0014,0.0992,0.0356,0.1078,0.2506,0.3415,0.7494,
21.0,0.3718,Aurora,34650.0,Aurora University,41.753631,-88.349023,1068.0,1.0,IL,0.0,24260.0,24260.0,3944.0,0.0023,0.0236,0.0733,0.3192,0.3509,0.483,0.6491,
20.0,0.3407,Carlinville,30605.0,Blackburn College,39.287896,-89.87024100000001,1050.0,1.0,IL,0.0,22410.0,22410.0,561.0,0.0,0.0107,0.1212,0.0428,0.4011,0.7576,0.5989,
26.0,0.5953,Peoria,46304.0,Bradley University,40.696896,-89.616786,1212.0,1.0,IL,0.0,33760.0,33760.0,4598.0,0.0002,0.0346,0.0694,0.1037,0.493,0.7273,0.507,
18.0,0.0394,Chicago,20357.0,Chicago State University,41.718446,-87.60938399999999,972.0,0.0,IL,0.4106,10163.0,17123.0,2024.0,0.0049,0.0049,0.7386,0.0721,0.3063,0.0336,0.6937,
34.0,0.8898,Chicago,75735.0,University of Chicago,41.787994,-87.59953900000001,1520.0,1.0,IL,0.0,58230.0,58230.0,6600.0,0.0011,0.1918,0.0518,0.1368,0.5109,0.39299999999999996,0.4891,
23.0,0.3494,River Forest,40076.0,Concordia University-Chicago,41.898696,-87.80948199999999,1102.0,1.0,IL,0.0,32078.0,32078.0,1463.0,0.0007,0.0219,0.1265,0.3199,0.4135,0.4491,0.5865,
20.0,0.3753,Charleston,23259.0,Eastern Illinois University,39.479843,-88.175658,1022.0,0.0,IL,0.3054,11803.0,14023.0,4631.0,0.0028,0.0119,0.2131,0.0842,0.4066,0.6124,0.5934,
23.0,0.5107,Elmhurst,46130.0,Elmhurst College,41.897164000000004,-87.945369,1113.0,1.0,IL,0.0,37055.0,37055.0,2799.0,0.0018,0.0522,0.0468,0.2347,0.3934,0.6045,0.6066,
21.0,0.4744,Eureka,35575.0,Eureka College,40.71482,-89.269624,1067.0,1.0,IL,0.3782,25390.0,25390.0,557.0,0.0054,0.0036,0.0862,0.0269,0.5242,0.8205,0.4758,
21.0,0.5153,Greenville,39165.0,Greenville University,38.894162,-89.40824,1057.0,1.0,IL,0.0,27130.0,27130.0,938.0,0.0,0.0043,0.1535,0.064,0.5288,0.6631,0.4712,
22.0,0.0338,Skokie,33344.0,Hebrew Theological College,42.010103,-87.760874,1100.0,1.0,IL,0.5183,12920.0,12920.0,87.0,0.0,0.0115,0.0,0.0345,0.3333,0.9425,0.6667,
24.0,0.3385,Chicago,25260.0,University of Illinois at Chicago,41.871837,-87.650503,1145.0,0.0,IL,0.0,13764.0,26980.0,20435.0,0.0004,0.212,0.0791,0.3403,0.4825,0.2832,0.5175,
23.0,0.33,Lisle,44385.0,Benedictine University,41.777569,-88.097307,1110.0,1.0,IL,0.0017,34290.0,34290.0,2692.0,0.0067,0.1456,0.0858,0.175,0.4577,0.4194,0.5423,
29.0,0.6982,Champaign,30082.0,University of Illinois at Urbana-Champaign,40.104718,-88.229114,1338.0,0.0,IL,0.0,15094.0,31664.0,32974.0,0.0005,0.1895,0.0604,0.1203,0.5408,0.4422,0.4592,
27.0,0.7526,Bloomington,59482.0,Illinois Wesleyan University,40.489901,-88.992014,1247.0,1.0,IL,0.0368,47636.0,47636.0,1686.0,0.0,0.0552,0.0617,0.0943,0.4775,0.6957,0.5225,
29.0,0.3722,Chicago,60112.0,Illinois Institute of Technology,41.8313,-87.627321,1318.0,1.0,IL,0.0,47646.0,47646.0,2924.0,0.0003,0.1508,0.0516,0.1652,0.6819,0.3635,0.3181,
23.0,0.4691,Normal,28929.0,Illinois State University,40.509403000000006,-88.99005799999999,1122.0,0.0,IL,0.0,14516.0,26040.0,18044.0,0.0011,0.0211,0.0931,0.1106,0.4464,0.7313,0.5536,
22.0,0.5,Elgin,40849.0,Judson University,42.061754,-88.291336,1086.0,1.0,IL,0.2792,29860.0,29860.0,999.0,0.0,0.021,0.1181,0.2102,0.4044,0.4775,0.5956,
24.0,0.4436,Romeoville,39946.0,Lewis University,41.605432,-88.079032,1142.0,1.0,IL,0.0,32450.0,32450.0,4217.0,0.0009,0.0512,0.0555,0.2075,0.4845,0.5902,0.5155,
23.0,0.3067,Lincoln,25766.0,Lincoln Christian University,40.148924,-89.346721,1113.0,1.0,IL,0.0,13200.0,13200.0,398.0,0.0,0.0075,0.0678,0.0101,0.495,0.8492,0.505,
17.0,0.0513,Lincoln,30455.0,Lincoln College,40.155442,-89.36153,809.0,1.0,IL,0.4944,18600.0,18600.0,960.0,0.0031,0.0063,0.4396,0.075,0.4458,0.4042,0.5542,
28.0,0.6665,Chicago,57297.0,Loyola University Chicago,42.000765,-87.65687199999999,1261.0,1.0,IL,0.0,44048.0,44048.0,11727.0,0.0014,0.1254,0.0546,0.1648,0.335,0.5479,0.665,
20.0,0.3562,Jacksonville,36602.0,MacMurray College,39.730918,-90.223986,1024.0,1.0,IL,0.4452,27710.0,27710.0,548.0,0.0036,0.0036,0.0876,0.0931,0.5201,0.7263,0.4799,
24.0,0.4354,Lebanon,41911.0,McKendree University,38.608154,-89.816822,1149.0,1.0,IL,0.0,30520.0,30520.0,1924.0,0.0042,0.0042,0.1346,0.0525,0.4714,0.6169,0.5286,
19.0,0.3571,Peoria,34875.0,Methodist College,40.7804,-89.682864,1015.0,1.0,IL,0.0,20750.0,20750.0,687.0,0.0058,0.0277,0.1208,0.0277,0.1179,0.7889,0.8821,
24.0,0.4725,Decatur,46026.0,Millikin University,39.842612,-88.976298,1125.0,1.0,IL,0.0,35002.0,35002.0,1918.0,0.0016,0.013000000000000001,0.1387,0.0709,0.4275,0.6867,0.5725,
24.0,0.4636,Monmouth,47726.0,Monmouth College,40.914823999999996,-90.63731,1114.0,1.0,IL,0.0,37674.0,37674.0,901.0,0.0033,0.0111,0.0966,0.0988,0.5072,0.6482,0.4928,
24.0,0.5652,Naperville,49461.0,North Central College,41.77576,-88.14279,1083.0,1.0,IL,0.0,38880.0,38880.0,2641.0,0.0015,0.0337,0.0443,0.156,0.4627,0.6467,0.5373,
22.0,0.4075,Chicago,36759.0,North Park University,41.975268,-87.709948,1080.0,1.0,IL,0.0,29860.0,29860.0,1967.0,0.0015,0.0839,0.0819,0.3015,0.3838,0.3884,0.6162,
